Mehnus,41
Mehnoor,93
MehnUs,35
Ali,130
Anas,150
asd,10
asdzxc,20
asdfgh,0
abc,-4
abcdef,-16
asdfghj,0
Mahad,52
ghj,0
zainab,97
Abdullah,80
asdfd,-30
ASDFGHJKDFGHJ,0
THOR,3
Thor,127
Reyan,92
Fazzal,109
hamian,-1
Ahsan,84
Ahsann,100
mahad,96
